0,1,2,3,4,5,6,7
1e-10,0,1e+08,1,0.1,0,0,0.00065724
1.1112e-06,0,1e+08,1,0.1,0,0,0.00065672
2.2223e-06,0,1e+08,1,0.1,0,0,0.00065621
3.3334e-06,0,1e+08,1,0.1,0,0,0.0006557
4.4445e-06,0,1e+08,1,0.1,0,0,0.0006552
5.5556e-06,0,1e+08,1,0.1,0,0,0.0006547
6.6667e-06,0,1e+08,1,0.1,0,0,0.00065421
7.7778e-06,0,1e+08,1,0.1,0,0,0.00065373
8.8889e-06,0,1e+08,1,0.1,0,0,0.00065324
1e-05,0,1e+08,1,0.1,0,0,0.00065276
1e-10,0.033333,1e+08,1,0.1,0,0,0.00017694
1.1112e-06,0.033333,1e+08,1,0.1,0,0,0.0001767
2.2223e-06,0.033333,1e+08,1,0.1,0,0,0.00017645
3.3334e-06,0.033333,1e+08,1,0.1,0,0,0.00017621
4.4445e-06,0.033333,1e+08,1,0.1,0,0,0.00017597
5.5556e-06,0.033333,1e+08,1,0.1,0,0,0.00017573
6.6667e-06,0.033333,1e+08,1,0.1,0,0,0.00017549
7.7778e-06,0.033333,1e+08,1,0.1,0,0,0.00017525
8.8889e-06,0.033333,1e+08,1,0.1,0,0,0.00017501
1e-05,0.033333,1e+08,1,0.1,0,0,0.00017477
1e-10,0.066667,1e+08,1,0.1,0,0,5.4802e-06
1.1112e-06,0.066667,1e+08,1,0.1,0,0,5.3054e-06
2.2223e-06,0.066667,1e+08,1,0.1,0,0,5.1307e-06
3.3334e-06,0.066667,1e+08,1,0.1,0,0,4.9562e-06
4.4445e-06,0.066667,1e+08,1,0.1,0,0,4.7818e-06
5.5556e-06,0.066667,1e+08,1,0.1,0,0,4.6078e-06
6.6667e-06,0.066667,1e+08,1,0.1,0,0,4.4338e-06
7.7778e-06,0.066667,1e+08,1,0.1,0,0,4.26e-06
8.8889e-06,0.066667,1e+08,1,0.1,0,0,4.0864e-06
1e-05,0.066667,1e+08,1,0.1,0,0,3.9129e-06
1e-10,0.1,1e+08,1,0.1,0,0,0.00013784
1.1112e-06,0.1,1e+08,1,0.1,0,0,0.00013772
2.2223e-06,0.1,1e+08,1,0.1,0,0,0.0001376
3.3334e-06,0.1,1e+08,1,0.1,0,0,0.00013747
4.4445e-06,0.1,1e+08,1,0.1,0,0,0.00013735
