,0,1,2,3,4,5,6
0,1e-10,0.0,100000000.0,1.0,0.1,0.0,1.0
1,1.1112e-06,0.0,100000000.0,1.0,0.1,0.0,1.0
2,2.2223e-06,0.0,100000000.0,1.0,0.1,0.0,1.0
3,3.3333999999999997e-06,0.0,100000000.0,1.0,0.1,0.0,1.0
4,4.4444999999999995e-06,0.0,100000000.0,1.0,0.1,0.0,1.0
5,5.5556e-06,0.0,100000000.0,1.0,0.1,0.0,1.0
6,6.666699999999999e-06,0.0,100000000.0,1.0,0.1,0.0,1.0
7,7.7778e-06,0.0,100000000.0,1.0,0.1,0.0,1.0
8,8.8889e-06,0.0,100000000.0,1.0,0.1,0.0,1.0
9,1e-05,0.0,100000000.0,1.0,0.1,0.0,1.0
10,1e-10,0.033333,100000000.0,1.0,0.1,0.0,1.0
11,1.1112e-06,0.033333,100000000.0,1.0,0.1,0.0,1.0
12,2.2223e-06,0.033333,100000000.0,1.0,0.1,0.0,1.0
13,3.3333999999999997e-06,0.033333,100000000.0,1.0,0.1,0.0,1.0
14,4.4444999999999995e-06,0.033333,100000000.0,1.0,0.1,0.0,1.0
15,5.5556e-06,0.033333,100000000.0,1.0,0.1,0.0,1.0
16,6.666699999999999e-06,0.033333,100000000.0,1.0,0.1,0.0,1.0
17,7.7778e-06,0.033333,100000000.0,1.0,0.1,0.0,1.0
18,8.8889e-06,0.033333,100000000.0,1.0,0.1,0.0,1.0
19,1e-05,0.033333,100000000.0,1.0,0.1,0.0,1.0
20,1e-10,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
21,1.1112e-06,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
22,2.2223e-06,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
23,3.3333999999999997e-06,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
24,4.4444999999999995e-06,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
25,5.5556e-06,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
26,6.666699999999999e-06,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
27,7.7778e-06,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
